AR,58.6
CT,62.9
GA,71.4
IA,86.9
IL,71.8
IN,79.3
KS,80.5
MI,75.3
MO,67.1
NE,85.8
NJ,65.6
NY,71
OH,83.1
OK,78.7
OR,67.3
PA,75
TX,74.6
VA,64
WI,74.8
Average,72.545
